Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
08/12/2022,CHEV,LL,,GRY,251YSR,KY,10300 S. Doty,(773) 568-8495,2936093
09/28/2022,TOYT,4D,,RED,S679716,IL,400 E. Lower Wacker,(312) 744-7550,0266548
09/09/2022,HYUN,4D,,BLK,V646547,IL,701 N. Sacramento,(773) 265-7605,7038915
09/03/2022,NISS,4D,,WHI,BM57424,IL,400 E. Lower Wacker,(312) 744-7550,0264996
09/05/2022,NISS,VN,TK,GLD,DE91896,IL,701 N. Sacramento,(773) 265-7605,7038738
07/19/2022,DODG,LL,TK,BLU,CS40083,IL,10300 S. Doty,(773) 568-8495,2935129
09/03/2022,TOYT,4D,,SIL,CE33258,IL,701 N. Sacramento,(773) 265-7605,7038529
09/20/2022,CHRY,4D,,BLU,DD24554,IL,10300 S. Doty,(773) 568-8495,2937959
07/15/2022,PONT,4D,,BLU,CX54541,IL,10300 S. Doty,(773) 568-8495,2934968
07/15/2022,HYUN,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2934967
08/12/2022,FORD,4H,ESC,RED,,IL,10300 S. Doty,(773) 568-8495,2936094
09/09/2022,VOLV,4D,,WHI,EDC7867,MI,701 N. Sacramento,(773) 265-7605,7038916
09/09/2022,NISS,2D,,BLK,1413441,IL,701 N. Sacramento,(773) 265-1846,1544200
07/12/2022,TOYT,4D,,BLK,FP177658,IL,701 N. Sacramento,(773) 265-7605,7035304
07/15/2022,FORD,LL,,WHI,LRBWV,IL,701 N. Sacramento,(773) 265-7605,7035453
08/15/2022,FORD,LL,,WHI,DSS115,MN,10300 S. Doty,(773) 785-9752,1723543
08/03/2022,CHEV,VN,TK,SIL,AQ50460,IL,701 N. Sacramento,(773) 265-7605,7036491
09/19/2022,HYUN,4D,,GRY,AR75247,IL,10300 S. Doty,(773) 568-8495,2937933
09/23/2022,FORD,4D,,GRY,4933340,IL,10300 S. Doty,(773) 568-8495,2938155
08/11/2022,INFI,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2936091
09/05/2022,JEEP,LL,TK,GRY,CR43462,IL,10300 S. Doty,(773) 568-8495,2937312
08/03/2022,MERZ,4D,,GRY,CT22199,IL,701 N. Sacramento,(773) 265-7605,7036493
08/18/2022,GMC,LL,,BLK,884AA840,IL,10300 S. Doty,(773) 785-9752,1723560
08/16/2022,VOLK,4D,,WHI,DB59568,IL,10300 S. Doty,(773) 568-8495,2936538
08/21/2022,HOND,4D,,BLK,CU72198,IL,701 N. Sacramento,(773) 265-7605,7037776
07/19/2022,MERZ,4D,,SIL,DC44574,IL,10300 S. Doty,(773) 568-8495,2935091
08/30/2022,BMW,4D,,RED,HZE743,IL,400 E. Lower Wacker,(312) 744-7550,0264774
09/19/2022,CHEV,4D,,MAR,BF15645,IL,10300 S. Doty,(773) 568-8495,2937934
09/28/2022,VOLV,4D,,WHI,CD51389,IL,701 N. Sacramento,(773) 265-7605,7040321
09/28/2022,KIA,4D,,BLK,ZX89771,IL,10300 S. Doty,(773) 568-8495,2938353
09/28/2022,CHRY,VN,,GRY,,,10300 S. Doty,(773) 568-8495,2938352
07/26/2022,ZCZY,TR,,BLU,17990Z,WI,10300 S. Doty,(773) 568-8495,2935349
09/05/2022,CHEV,VN,TK,SIL,CV83061,IL,10300 S. Doty,(773) 568-8495,2937311
08/12/2022,NISS,LL,,SIL,CC19641,IL,10300 S. Doty,(773) 568-8495,2936089
09/13/2022,CHEV,4D,,SIL,003198A3,IL,10300 S. Doty,(773) 568-8495,2937688
08/31/2022,NISS,VN,,GRY,BX87142,IL,701 N. Sacramento,(773) 265-7605,7038287
07/12/2022,YAMA,MC,CYL,BLU,,IL,10300 S. Doty,(773) 568-8495,2934773
07/28/2022,VOLV,PK,,WHI,P1146470,IL,701 N. Sacramento,(773) 265-1846,1543981
09/05/2022,FORD,4D,,GRY,492LPS,IN,701 N. Sacramento,(773) 265-7605,7038747
09/12/2022,TOYT,4D,,GRY,BU37381,IL,400 E. Lower Wacker,(312) 744-7550,0265609
09/05/2022,MITS,4D,,BLK,CJ50992,IL,10300 S. Doty,(773) 568-8495,2937313
09/28/2022,NISS,4D,,GRY,CX50936,IL,701 N. Sacramento,(773) 265-7605,7040322
08/12/2022,SUBA,4T,,WHI,CY49475,IL,10300 S. Doty,(773) 568-8495,2936096
09/05/2022,JEEP,LL,TK,GRY,DC64865,IL,10300 S. Doty,(773) 568-8495,2937315
09/22/2022,HYUN,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7039878
09/05/2022,ACUR,4D,,RED,DR17270,IL,701 N. Sacramento,(773) 265-7605,7038748
08/12/2022,HYUN,4D,,BLK,CQ88334,IL,10300 S. Doty,(773) 568-8495,2936098
07/03/2022,HYUN,4T,,SIL,DC33367,IL,701 N. Sacramento,(773) 265-7605,7034779
08/12/2022,JEEP,LL,,WHI,CB68057,IL,10300 S. Doty,(773) 568-8495,2936099
09/12/2022,KIA,4D,,WHI,BY48343,IL,10300 S. Doty,(773) 568-8495,2937649
08/31/2022,NISS,VN,,GRY,Y927477,IL,701 N. Sacramento,(773) 265-7605,7038298
09/19/2022,TOYT,4D,,RED,V658436,IL,10300 S. Doty,(773) 568-8495,2937957
08/31/2022,ACUR,4D,,RED,DM90307,IL,10300 S. Doty,(773) 568-8495,2937111
08/31/2022,JAGU,4D,,GRY,ZU91770,IL,701 N. Sacramento,(773) 265-7605,7038295
08/31/2022,CHRY,VN,,SIL,CF75413,IL,10300 S. Doty,(773) 568-8495,2937112
09/22/2022,FORD,4D,,RED,DG14584,IL,10300 S. Doty,(773) 568-8495,2938053
07/04/2022,KIA,4T,,SIL,E105861,IL,10300 S. Doty,(773) 568-8495,2934530
09/13/2022,FORD,4D,,WHI,727AA420,IL,10300 S. Doty,(773) 568-8495,2937687
09/13/2022,FORD,VN,,WHI,1903672B,IL,10300 S. Doty,(773) 568-8495,2937686
09/13/2022,CHRY,LL,,GLD,CS57537,IL,701 N. Sacramento,(773) 265-7605,7039315
08/31/2022,HYUN,4D,,GRY,DE78009,IL,400 E. Lower Wacker,(312) 744-7550,0264828
09/23/2022,FORD,LL,,RED,CL25697,IL,701 N. Sacramento,(773) 265-7605,7039941
09/13/2022,LEXS,4D,,GLD,DE31359,IL,701 N. Sacramento,(773) 265-7605,7039317
07/04/2022,MITS,4D,,RED,CK75143,IL,10300 S. Doty,(773) 568-8495,2934531
08/30/2022,JEEP,4D,,GRN,BC68345,IL,701 N. Sacramento,(773) 265-7605,7038302
09/03/2022,NISS,SW,,BLU,BK42244,IL,701 N. Sacramento,(773) 265-7605,7038536
09/09/2022,TOYT,4D,,GRY,8RKA010,CA,701 N. Sacramento,(773) 265-7605,7038917
08/18/2022,CHEV,LL,,GRY,9068102,IL,701 N. Sacramento,(773) 265-7605,7037492
09/23/2022,CHEV,4D,,WHI,BK51489,IL,701 N. Sacramento,(773) 265-7605,7039943
09/09/2022,TOYT,4D,,RED,CZ28448,IL,10300 S. Doty,(773) 568-8495,2937514
09/03/2022,CHEV,4D,,RED,CT89294,IL,701 N. Sacramento,(773) 265-7605,7038543
07/08/2022,BUIC,4D,,GLD,,IL,10300 S. Doty,(773) 568-8495,2934657
08/12/2022,HYUN,4T,,WHI,CA36820,IL,701 N. Sacramento,(773) 265-7605,7037062
08/12/2022,ZCZY,MB,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7037103
09/26/2022,CHEV,4T,,DBL,AS54440,IL,701 N. Sacramento,(773) 265-7605,7040190
09/03/2022,BMW,LL,,BGE,CE34607,IL,701 N. Sacramento,(773) 265-7605,7038539
09/09/2022,CHEV,PK,,WHI,2478615B,IL,10300 S. Doty,(773) 568-8495,2937515
09/09/2022,NISS,LL,,BLK,CT35468,IL,10300 S. Doty,(773) 568-8495,2937518
09/26/2022,CHEV,4D,,GRN,CJ59289,IL,10300 S. Doty,(773) 568-8495,2938265
08/18/2022,GMC,PK,,WHI,3523484B,IL,10300 S. Doty,(773) 568-8495,2936594
09/03/2022,NISS,4D,,BGE,CU35820,IL,701 N. Sacramento,(773) 265-7605,7038540
09/09/2022,CHEV,VN,,MAR,C9322658,IL,10300 S. Doty,(773) 568-8495,2937517
08/18/2022,NISS,LL,,GLD,Q876857,IL,10300 S. Doty,(773) 785-9752,1723561
09/09/2022,NISS,4D,,BLU,X736040,IL,400 E. Lower Wacker,(312) 744-7550,0265405
08/18/2022,MERZ,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7037494
07/12/2022,DODG,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7035310
09/23/2022,VOLK,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2938158
09/23/2022,HYUN,4D,,BLK,7609561,IL,10300 S. Doty,(773) 568-8495,2938159
09/09/2022,DODG,4D,,GRY,CJ55596,IL,10300 S. Doty,(773) 568-8495,2937512
09/26/2022,DODG,4T,,RED,BUV122,IN,701 N. Sacramento,(773) 265-7605,7040193
09/23/2022,DODG,4D,,BLK,CQ95643,IL,10300 S. Doty,(773) 568-8495,2938157
08/15/2022,NISS,4D,,BLK,L062026,IN,10300 S. Doty,(773) 785-9752,1723541
09/09/2022,JEEP,LL,,WHI,UC7501,IN,10300 S. Doty,(773) 568-8495,2937520
09/03/2022,ZCZY,MC,,YEL,,IL,701 N. Sacramento,(773) 265-7605,7038550
07/15/2022,CHEV,4D,,BLK,Q753861,IL,400 E. Lower Wacker,(312) 744-7550,0261835
08/04/2022,KIA,4D,,RED,CV22617,IL,10300 S. Doty,(773) 568-8495,2935766
08/18/2022,HYUN,LL,,BLK,S465162,IL,400 E. Lower Wacker,(312) 744-7550,0264079
09/28/2022,BMW,LL,,GRY,V4399L,WI,701 N. Sacramento,(773) 265-7605,7040329
09/09/2022,TOYT,4D,,SIL,DQ46388,IL,701 N. Sacramento,(773) 265-7605,7038925
07/19/2022,MERZ,4D,,GRY,61541B,IN,701 N. Sacramento,(773) 265-7605,7035740
07/12/2022,JEEP,LL,,BLK,CL65068,IL,400 E. Lower Wacker,(312) 744-7550,0261621
07/23/2022,INFI,LL,,BLK,1721508,IL,701 N. Sacramento,(773) 265-7605,7035952
09/28/2022,THEU,MC,,BLK,EY3834,IL,701 N. Sacramento,(773) 265-1846,1544273
07/04/2022,DODG,VN,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7034845
08/15/2022,HOND,4D,,BLU,3KRG14,MA,10300 S. Doty,(773) 568-8495,2936477
07/04/2022,JAGU,4T,,BLK,N151011,IL,701 N. Sacramento,(773) 265-7605,7034846
09/18/2022,DODG,4T,,GRY,CK23658,IL,701 N. Sacramento,(773) 265-7605,7039645
07/04/2022,TOYT,4D,,BLK,AB64897,IL,701 N. Sacramento,(773) 265-7605,7034843
07/28/2022,YAMA,MC,,ONG,MCYFG477,IL,701 N. Sacramento,(773) 265-7605,7036206
08/27/2022,CHEV,PK,,GRN,3267708B,IL,701 N. Sacramento,(773) 265-7605,7038035
07/04/2022,DODG,2D,,BLK,DJ62703,IL,701 N. Sacramento,(773) 265-7605,7034844
08/08/2022,CADI,4D,,TAN,DL63830,IL,10300 S. Doty,(773) 568-8495,2935914
07/23/2022,FORD,LL,,SIL,PRJ6192,TX,10300 S. Doty,(773) 568-8495,2935265
08/31/2022,KIA,4D,,WHI,EKR2130,MI,701 N. Sacramento,(773) 265-7605,7038312
08/27/2022,JEEP,LL,CHE,GRY,AN47978,IL,701 N. Sacramento,(773) 265-7605,7038038
09/22/2022,NISS,4T,,BRZ,,IL,10300 S. Doty,(773) 568-8495,2938601
08/05/2022,CHRY,VN,,GRY,CD38919,IL,701 N. Sacramento,(773) 265-7605,7036633
09/05/2022,KIA,4D,,BLU,CV43230,IL,10300 S. Doty,(773) 568-8495,2937316
09/03/2022,KAWK,MC,,RED,D60532,IL,701 N. Sacramento,(773) 265-7605,7038549
09/25/2022,DODG,LL,,WHI,BY80760,IL,10300 S. Doty,(773) 568-8495,2938240
09/22/2022,INFI,4T,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7039882
07/31/2022,FORD,4D,,BLK,CW26376,IL,10300 S. Doty,(773) 568-8495,2935608
07/12/2022,TOYT,4T,,PLE,Z609375,IL,10300 S. Doty,(773) 568-8495,2934797
09/28/2022,TOYT,SW,,MAR,HDH1868,OH,701 N. Sacramento,(773) 265-7605,7040330
08/13/2022,NISS,4D,,BLK,XF3R2G,MO,701 N. Sacramento,(773) 265-7605,7037124
07/23/2022,ZCZY,UT,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7035884
09/05/2022,FORD,PK,,ONG,AD87936,IL,10300 S. Doty,(773) 568-8495,2937317
08/21/2022,HOND,4D,ACC,DBL,,,701 N. Sacramento,(773) 265-7605,7037777
08/23/2022,LEXS,4D,,SIL,BG89828,IL,701 N. Sacramento,(773) 265-7605,7037829
08/31/2022,DODG,4D,,GRY,DE77242,IL,701 N. Sacramento,(773) 265-7605,7038307
08/21/2022,MERC,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2936679
07/03/2022,CHEV,4D,,BLK,BW21791,IL,701 N. Sacramento,(773) 265-7605,7034789
09/05/2022,NISS,4D,,SIL,CS40000,IL,701 N. Sacramento,(773) 265-7605,7038750
08/31/2022,INFI,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2937113
09/19/2022,FORD,PK,TK,RED,3162233B,IL,10300 S. Doty,(773) 568-8495,2937935
09/19/2022,INFI,4D,,WHI,DB78342,IL,701 N. Sacramento,(773) 265-7605,7039801
09/23/2022,KIA,4D,,BLU,JEP3892,NC,10300 S. Doty,(773) 568-8495,2938160
08/23/2022,TOYT,4D,,GRN,AJ17940,IL,701 N. Sacramento,(773) 265-7605,7037827
09/05/2022,MERZ,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7038751
07/19/2022,KIA,4T,,SIL,,IL,10300 S. Doty,(773) 568-8495,2935104
09/05/2022,HOND,4D,,MAR,S803280,IL,701 N. Sacramento,(773) 265-7605,7038752
08/31/2022,KIA,4D,,MAR,S439101,IL,701 N. Sacramento,(773) 265-7605,7038305
09/26/2022,TOYT,4D,,GRY,DL52124,IL,10300 S. Doty,(773) 568-8495,2938267
09/05/2022,KIA,LL,,SIL,AC56806,IL,10300 S. Doty,(773) 568-8495,2937319
08/31/2022,CHEV,VN,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7038301
07/19/2022,CHEV,4D,,RED,BU82029,IL,10300 S. Doty,(773) 568-8495,2935107
08/23/2022,CHRY,2D,,SIL,8GNB118,CA,701 N. Sacramento,(773) 265-1846,1544106
09/13/2022,YAMA,MC,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7039316
07/19/2022,CHEV,PK,TK,BLK,3345884B,IL,701 N. Sacramento,(773) 265-7605,7035702
08/31/2022,JEEP,LL,,MAR,AT91383,IL,701 N. Sacramento,(773) 265-7605,7038309
08/31/2022,CHRY,VN,,BLU,Q811912,IL,701 N. Sacramento,(773) 265-7605,7038317
09/03/2022,CHEV,PK,,BLK,BW72409,CA,701 N. Sacramento,(773) 265-7605,7038554
09/20/2022,CHEV,4D,,RED,,IL,701 N. Sacramento,(773) 265-1846,1544232
09/26/2022,HYUN,LL,,SIL,CN89783,IL,10300 S. Doty,(773) 568-8495,2938266
08/31/2022,VOLK,4D,,GRY,CG14567,IL,701 N. Sacramento,(773) 265-7605,7038311
07/12/2022,BUIC,4D,,BLU,931AA627,IL,701 N. Sacramento,(773) 265-7605,7035312
08/12/2022,LINC,4D,,WHI,157424AV,IL,10300 S. Doty,(773) 568-8495,2936106
09/09/2022,HOND,4D,,GRY,BG22040,IL,701 N. Sacramento,(773) 265-7605,7038920
09/22/2022,DODG,4T,,BLU,DH45019,IL,10300 S. Doty,(773) 568-8495,2938057
09/22/2022,DODG,4T,,BLK,,IL,10300 S. Doty,(773) 568-8495,2938060
07/28/2022,AUDI,LL,,DBL,DH46908,IL,701 N. Sacramento,(773) 265-7605,7036193
09/26/2022,TESL,4D,,BLK,FP179897,IL,10300 S. Doty,(773) 568-8495,2938268
09/03/2022,DODG,PK,,WHI,3430782B,IL,701 N. Sacramento,(773) 265-7605,7038556
07/26/2022,BUIC,4D,,ONG,,IL,10300 S. Doty,(773) 568-8495,2935358
08/18/2022,CADI,LL,,BLK,004120A8,IL,10300 S. Doty,(773) 785-9752,1723562
07/26/2022,AUDI,4D,,SIL,680954,IL,701 N. Sacramento,(773) 265-1846,1543973
09/09/2022,HOND,2D,,BRO,UHE7693,VA,701 N. Sacramento,(773) 265-7605,7038922
08/05/2022,JEEP,4D,TK,BLU,CU45182,IL,10300 S. Doty,(773) 568-8495,2935811
09/22/2022,TOYT,4D,,GRY,AZ90142,IL,10300 S. Doty,(773) 568-8495,2938059
09/05/2022,KIA,4D,,RED,AF50300,IL,10300 S. Doty,(773) 568-8495,2937318
07/31/2022,MERC,4D,,SIL,01359767,MN,10300 S. Doty,(773) 568-8495,2935614
09/03/2022,FORD,4D,,GRY,BR88182,IL,701 N. Sacramento,(773) 265-7605,7038558
08/05/2022,JEEP,4D,,BLU,R403749,IL,10300 S. Doty,(773) 568-8495,2935807
09/22/2022,CHEV,4D,,BLK,260C673,IN,10300 S. Doty,(773) 568-8495,2938056
09/03/2022,HOND,4D,,TAN,Q280826,IL,10300 S. Doty,(773) 568-8495,2937220
07/08/2022,MITS,4D,,WHI,DB43216,IL,10300 S. Doty,(773) 568-8495,2934663
07/31/2022,DODG,4T,,BLK,DE73968,IL,10300 S. Doty,(773) 568-8495,2935616
09/23/2022,VOLK,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7039944
07/16/2022,NISS,4D,,BLU,DL51788,IL,400 E. Lower Wacker,(312) 744-7550,0261847
09/22/2022,DODG,VN,,BLU,DM86260,IL,10300 S. Doty,(773) 568-8495,2938063
09/03/2022,ACUR,4D,,GRY,CW88842,IL,10300 S. Doty,(773) 568-8495,2937221
07/08/2022,TOYT,4D,,WHI,CF64071,IL,10300 S. Doty,(773) 568-8495,2934662
09/22/2022,CHEV,LL,TK,BLK,,IL,701 N. Sacramento,(773) 265-7605,7039880
08/05/2022,CHEV,4D,,BLU,DH25425,IL,10300 S. Doty,(773) 568-8495,2935812
07/08/2022,KIA,LL,,RED,,IL,10300 S. Doty,(773) 568-8495,2934664
09/09/2022,JEEP,LL,,SIL,AJ71224,IL,701 N. Sacramento,(773) 265-7605,7038921
09/22/2022,KIA,LL,,BLU,DP29888,IL,701 N. Sacramento,(773) 265-7605,7039881
09/23/2022,KIA,4D,,BLK,BX76918,IL,701 N. Sacramento,(773) 265-7605,7039945
07/24/2022,CHEV,4D,,GRY,CG12626,IL,10300 S. Doty,(773) 568-8495,2935268
09/28/2022,DODG,4D,,WHI,DB52193,IL,10300 S. Doty,(773) 568-8495,2938351
07/28/2022,KIA,4D,,GRY,CU81336,IL,10300 S. Doty,(773) 568-8495,2935474
09/12/2022,JEEP,LL,,BLK,AHF8779,WI,701 N. Sacramento,(773) 265-7605,7039250
09/28/2022,CHRY,VN,,BLK,,,701 N. Sacramento,(773) 265-7605,7040324
07/08/2022,CHEV,LL,,BLK,566TQA,IN,701 N. Sacramento,(773) 265-7605,7035085
07/26/2022,GMC,LL,,DBL,BQ20935,IL,400 E. Lower Wacker,(312) 744-7550,0262556
09/20/2022,DODG,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2937964
09/05/2022,FORD,LL,,WHI,DG81565,IL,10300 S. Doty,(773) 568-8495,2937322
07/04/2022,LINC,4D,,GLD,CF39681,IL,701 N. Sacramento,(773) 265-7605,7034848
07/31/2022,JEEP,LL,,WHI,DL6882Y,IL,701 N. Sacramento,(773) 265-7605,7036377
08/05/2022,MERC,VN,TK,SIL,CZ21803,IL,10300 S. Doty,(773) 568-8495,2935816
08/27/2022,CADI,4D,,SIL,0MSY16,MI,701 N. Sacramento,(773) 265-7605,7038052
09/28/2022,CHRY,4D,,BLK,DB39733,IL,701 N. Sacramento,(773) 265-7605,7040311
09/05/2022,PONT,4D,,BLK,DF68496,IL,10300 S. Doty,(773) 568-8495,2937321
08/27/2022,CHEV,LL,,BLU,BE23874,IL,10300 S. Doty,(773) 568-8495,2936951
08/18/2022,KIA,4D,,WHI,CU64540,IL,10300 S. Doty,(773) 568-8495,2936596
08/27/2022,DODG,4D,,BLU,DL63003,IL,10300 S. Doty,(773) 568-8495,2936952
09/05/2022,FORD,PK,TK,ONG,AG97456,IL,10300 S. Doty,(773) 568-8495,2937320
09/05/2022,HYUN,4D,,BLK,7617222,IL,10300 S. Doty,(773) 568-8495,2937323
07/04/2022,JEEP,LL,,BLK,AE55665,IL,701 N. Sacramento,(773) 265-7605,7034847
08/05/2022,PONT,4D,,GRY,CW72328,IL,10300 S. Doty,(773) 568-8495,2935817
08/27/2022,HYUN,4D,,RED,CG50064,IL,10300 S. Doty,(773) 568-8495,2936953
07/04/2022,MERZ,4D,,BLK,CC38537,IL,701 N. Sacramento,(773) 265-7605,7034854
07/04/2022,ACUR,4D,,SIL,DE13977,IL,701 N. Sacramento,(773) 265-7605,7034858
09/05/2022,KIA,4D,,WHI,CT92679,IL,701 N. Sacramento,(773) 265-7605,7038754
09/14/2022,LINC,4D,,GRY,05BWTD,FL,701 N. Sacramento,(773) 265-7605,7039331
09/05/2022,FORD,4D,,RED,DJ51507,IL,701 N. Sacramento,(773) 265-7605,7038755
09/19/2022,GMC,LL,,WHI,BH94822,IL,701 N. Sacramento,(773) 265-7605,7039799
08/21/2022,KIA,4D,,WHI,BF22835,IL,10300 S. Doty,(773) 568-8495,2936680
09/05/2022,CHEV,2D,,ONG,DE77297,IL,701 N. Sacramento,(773) 265-7605,7038756
07/04/2022,KIA,4D,,RED,BN45871,IL,701 N. Sacramento,(773) 265-7605,7034859
08/21/2022,PONT,VN,,TRQ,5832151,TX,10300 S. Doty,(773) 568-8495,2936681
09/05/2022,CHEV,4D,,BLK,CR41116,IL,10300 S. Doty,(773) 568-8495,2937325
09/08/2022,GMC,VN,,WHI,2668443B,IL,701 N. Sacramento,(773) 265-7605,7038886
07/04/2022,NISS,4D,,BLK,DK30768,IL,10300 S. Doty,(773) 568-8495,2934536
09/05/2022,CHEV,LL,TK,WHI,,,701 N. Sacramento,(773) 265-7605,7038759
09/14/2022,TOYT,4D,,TAN,DL48916,IL,701 N. Sacramento,(773) 265-7605,7039322
09/05/2022,NISS,4D,,MAR,DJ64021,IL,701 N. Sacramento,(773) 265-7605,7038761
08/31/2022,HYUN,2D,,WHI,CX72699,IL,701 N. Sacramento,(773) 265-7605,7038319
08/31/2022,NISS,LL,,BLU,E263793,IL,10300 S. Doty,(773) 568-8495,2937123
08/31/2022,GMC,LL,,BLK,,IL,10300 S. Doty,(773) 785-9752,1723599
09/20/2022,CHRY,VN,,SIL,003657A6,IL,10300 S. Doty,(773) 568-8495,2937965
08/31/2022,HYUN,4D,,RED,AX21677,IL,701 N. Sacramento,(773) 265-7605,7038318
09/05/2022,CHEV,4D,,WHI,Q475858,IL,10300 S. Doty,(773) 568-8495,2937330
09/22/2022,JEEP,LL,TK,BLU,,IL,701 N. Sacramento,(773) 265-7605,7039883
09/05/2022,BMW,4D,,BLK,DL58878,IL,10300 S. Doty,(773) 568-8495,2937328
09/20/2022,KIA,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2937966
08/31/2022,HOND,LL,,BLK,DD37522,IL,10300 S. Doty,(773) 568-8495,2937121
09/05/2022,BMW,4D,,BLK,DB36726,IL,10300 S. Doty,(773) 568-8495,2937332
09/26/2022,BUIC,4D,,SIL,CY14029,IL,10300 S. Doty,(773) 568-8495,2938269
08/22/2022,HOND,2D,,BLK,,,701 N. Sacramento,(773) 265-7605,7037785
08/22/2022,MERC,4D,,BRZ,BK19648,IL,10300 S. Doty,(773) 568-8495,2936683
07/12/2022,CHEV,2D,,SIL,663AA137,IL,400 E. Lower Wacker,(312) 744-7550,0261631
09/20/2022,VOLK,SW,,WHI,CD44071,IL,701 N. Sacramento,(773) 265-1846,1544235
08/12/2022,CHEV,4D,,BLU,K837412,IL,10300 S. Doty,(773) 568-8495,2936108
09/14/2022,TOYT,4D,,GRY,Z886063,IL,701 N. Sacramento,(773) 265-7605,7039329
08/18/2022,JEEP,LL,,GRY,BKA1LH,AZ,400 E. Lower Wacker,(312) 744-7550,0264088
09/20/2022,NISS,LL,,SIL,DC76118,IL,701 N. Sacramento,(773) 265-7605,7039819
09/05/2022,CHEV,LL,TK,BLK,,,10300 S. Doty,(773) 568-8495,2937333
07/04/2022,HYUN,4D,,GRY,XYP721,GA,400 E. Lower Wacker,(312) 744-7550,0261208
09/05/2022,FORD,LL,TK,SIL,CW84506,IL,10300 S. Doty,(773) 568-8495,2937334
08/04/2022,SATR,LL,,,,IL,10300 S. Doty,(773) 568-8495,500204
09/25/2022,FORD,4D,,BLK,DD80054,IL,701 N. Sacramento,(773) 265-7605,501572
08/04/2022,HYUN,4D,,RED,L378823,IL,10300 S. Doty,(773) 568-8495,2935772
09/26/2022,CHEV,4D,,SIL,DC98578,IL,10300 S. Doty,(773) 568-8495,2938271
07/28/2022,DODG,LL,,BLK,WEEZYWS,IL,10300 S. Doty,(773) 568-8495,2935476
08/08/2022,HYUN,4D,,BLK,E339483,IL,10300 S. Doty,(773) 568-8495,2935918
08/18/2022,SUBA,LL,,SIL,N676119,IL,10300 S. Doty,(773) 785-9752,1723558
09/20/2022,VOLK,4D,,BLK,AK14362,IL,701 N. Sacramento,(773) 265-1846,1544234
09/14/2022,INFI,LL,,WHI,BZ23537,IL,701 N. Sacramento,(773) 265-7605,7039324
07/24/2022,CHEV,LL,,WHI,P641792,IN,701 N. Sacramento,(773) 265-7605,7035957
09/14/2022,HOND,LL,,BRZ,CZ26884,IL,701 N. Sacramento,(773) 265-7605,7039330
09/23/2022,CHRY,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7039946
08/04/2022,KIA,LL,,WHI,PJSEXY2,IL,10300 S. Doty,(773) 568-8495,2935771
09/22/2022,HOND,4D,,BLU,AB82826,IL,400 E. Lower Wacker,(312) 744-7550,0266170
08/18/2022,KAWK,MC,,DGR,FG1956,IL,10300 S. Doty,(773) 568-8495,2936593
08/27/2022,FORD,4D,,RED,HZU5219,OH,10300 S. Doty,(773) 568-8495,2936958
09/28/2022,DODG,2D,,WHI,DA83186,IL,10300 S. Doty,(773) 568-8495,2938356
08/08/2022,JEEP,LL,,BLK,FP152560,IL,701 N. Sacramento,(773) 265-7605,7036929
08/08/2022,CHEV,LL,,GRY,BG81157,IL,10300 S. Doty,(773) 568-8495,2935921
08/15/2022,CHEV,PK,,MAR,3034399B,IL,10300 S. Doty,(773) 568-8495,2936480
08/27/2022,INFI,LL,,BRZ,,IL,10300 S. Doty,(773) 568-8495,2936961
09/26/2022,MAZD,LL,,GRY,CU92709,IL,701 N. Sacramento,(773) 265-7605,7040197
08/18/2022,PONT,4D,,GRY,,,701 N. Sacramento,(773) 265-7605,7037500
08/04/2022,NISS,4D,,SIL,DN21335,IL,10300 S. Doty,(773) 568-8495,2935778
09/28/2022,DODG,2D,,SIL,,MO,10300 S. Doty,(773) 568-8495,2938354
08/18/2022,NISS,4D,,BLK,344DWX,IN,10300 S. Doty,(773) 568-8495,2936600
09/14/2022,HYUN,4D,,GRY,CX72481,IL,701 N. Sacramento,(773) 265-7605,7039327
09/14/2022,NISS,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7039321
09/03/2022,MERZ,4D,,SIL,BM50269,IL,701 N. Sacramento,(773) 265-7605,7038561
09/28/2022,FORD,LL,,WHI,HQH8505,OH,701 N. Sacramento,(773) 265-7605,7040328
07/24/2022,TOYT,LL,,WHI,192MAX,IN,701 N. Sacramento,(773) 265-7605,7035969
